config,map,responder,road_damage,location_damage,rescue_duration,run,people_saved,total_people,rescue_rate,vehicles_remaining,vehicle_survival_rate
1,2,solution.algorithms.Dijkstra,0.3,0,0,1,300,1000,30.0,20,100.0
1,2,solution.algorithms.Dijkstra,0.3,0,0,2,350,1000,35.0,20,100.0
1,2,solution.algorithms.Dijkstra,0.3,0,0,3,250,1000,25.0,20,100.0
1,2,solution.algorithms.BidirectionalDijkstra,0.3,0,0,1,450,1000,45.0,20,100.0
1,2,solution.algorithms.BidirectionalDijkstra,0.3,0,0,2,200,1000,20.0,20,100.0
1,2,solution.algorithms.BidirectionalDijkstra,0.3,0,0,3,500,1000,50.0,20,100.0
1,2,solution.algorithms.Hybrid,0.3,0,0,1,200,1000,20.0,20,100.0
1,2,solution.algorithms.Hybrid,0.3,0,0,2,250,1000,25.0,20,100.0
1,2,solution.algorithms.Hybrid,0.3,0,0,3,450,1000,45.0,20,100.0
1,4,solution.algorithms.BFS,0.3,0,0,1,0,1000,0.0,20,100.0
1,4,solution.algorithms.BFS,0.3,0,0,2,0,1000,0.0,20,100.0
1,4,solution.algorithms.BFS,0.3,0,0,3,0,1000,0.0,20,100.0
1,4,solution.algorithms.Dijkstra,0.3,0,0,1,0,1000,0.0,20,100.0
1,4,solution.algorithms.Dijkstra,0.3,0,0,2,0,1000,0.0,20,100.0
1,4,solution.algorithms.Dijkstra,0.3,0,0,3,0,1000,0.0,20,100.0
1,4,solution.algorithms.BidirectionalDijkstra,0.3,0,0,1,0,1000,0.0,20,100.0
1,4,solution.algorithms.BidirectionalDijkstra,0.3,0,0,2,0,1000,0.0,20,100.0
1,4,solution.algorithms.BidirectionalDijkstra,0.3,0,0,3,0,1000,0.0,20,100.0
1,4,solution.algorithms.Hybrid,0.3,0,0,1,50,1000,5.0,20,100.0
1,4,solution.algorithms.Hybrid,0.3,0,0,2,0,1000,0.0,20,100.0
1,4,solution.algorithms.Hybrid,0.3,0,0,3,0,1000,0.0,20,100.0
1,5,solution.algorithms.BFS,0.3,0,0,1,50,950,5.3,20,100.0
1,5,solution.algorithms.BFS,0.3,0,0,2,0,1000,0.0,20,100.0
1,5,solution.algorithms.BFS,0.3,0,0,3,50,1000,5.0,20,100.0
1,5,solution.algorithms.Dijkstra,0.3,0,0,1,200,1000,20.0,20,100.0
1,5,solution.algorithms.Dijkstra,0.3,0,0,2,,,,,
1,5,solution.algorithms.Dijkstra,0.3,0,0,3,0,1000,0.0,20,100.0
1,5,solution.algorithms.BidirectionalDijkstra,0.3,0,0,1,150,1000,15.0,20,100.0
1,5,solution.algorithms.BidirectionalDijkstra,0.3,0,0,2,150,950,15.8,20,100.0
1,5,solution.algorithms.BidirectionalDijkstra,0.3,0,0,3,50,1000,5.0,20,100.0
1,5,solution.algorithms.Hybrid,0.3,0,0,1,50,1000,5.0,20,100.0
1,5,solution.algorithms.Hybrid,0.3,0,0,2,50,1000,5.0,20,100.0
1,5,solution.algorithms.Hybrid,0.3,0,0,3,0,950,0.0,20,100.0
2,0,solution.algorithms.BFS,0.3,0.1,0,1,950,950,100.0,20,100.0
2,0,solution.algorithms.BFS,0.3,0.1,0,2,1000,1000,100.0,20,100.0
2,0,solution.algorithms.BFS,0.3,0.1,0,3,1000,1000,100.0,20,100.0
2,0,solution.algorithms.Dijkstra,0.3,0.1,0,1,900,900,100.0,20,100.0
2,0,solution.algorithms.Dijkstra,0.3,0.1,0,2,1000,1000,100.0,20,100.0
2,0,solution.algorithms.Dijkstra,0.3,0.1,0,3,950,950,100.0,20,100.0
2,0,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,1,850,850,100.0,20,100.0
2,0,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,2,900,900,100.0,20,100.0
2,0,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,3,800,800,100.0,20,100.0
2,0,solution.algorithms.Hybrid,0.3,0.1,0,1,950,950,100.0,20,100.0
2,0,solution.algorithms.Hybrid,0.3,0.1,0,2,900,900,100.0,20,100.0
2,0,solution.algorithms.Hybrid,0.3,0.1,0,3,1000,1000,100.0,20,100.0
2,2,solution.algorithms.BFS,0.3,0.1,0,1,50,1000,5.0,19,95.0
2,2,solution.algorithms.BFS,0.3,0.1,0,2,150,1000,15.0,17,85.0
2,2,solution.algorithms.BFS,0.3,0.1,0,3,250,950,26.3,18,90.0
2,2,solution.algorithms.Dijkstra,0.3,0.1,0,1,,,,,
2,2,solution.algorithms.Dijkstra,0.3,0.1,0,2,,,,,
2,2,solution.algorithms.Dijkstra,0.3,0.1,0,3,,,,,
2,2,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,1,150,1000,15.0,20,100.0
2,2,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,2,0,1000,0.0,20,100.0
2,2,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,3,50,1000,5.0,20,100.0
2,2,solution.algorithms.Hybrid,0.3,0.1,0,1,50,1000,5.0,20,100.0
2,2,solution.algorithms.Hybrid,0.3,0.1,0,2,200,1000,20.0,18,90.0
2,2,solution.algorithms.Hybrid,0.3,0.1,0,3,100,1000,10.0,20,100.0
2,4,solution.algorithms.BFS,0.3,0.1,0,1,0,1000,0.0,20,100.0
2,4,solution.algorithms.BFS,0.3,0.1,0,2,0,1000,0.0,19,95.0
2,4,solution.algorithms.BFS,0.3,0.1,0,3,0,1000,0.0,19,95.0
2,4,solution.algorithms.Dijkstra,0.3,0.1,0,1,0,1000,0.0,18,90.0
2,4,solution.algorithms.Dijkstra,0.3,0.1,0,2,,,,,
2,4,solution.algorithms.Dijkstra,0.3,0.1,0,3,,,,,
2,4,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,1,,,,,
2,4,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,2,,,,,
2,4,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,3,0,1000,0.0,13,65.0
2,4,solution.algorithms.Hybrid,0.3,0.1,0,1,,,,,
2,4,solution.algorithms.Hybrid,0.3,0.1,0,2,0,1000,0.0,19,95.0
2,4,solution.algorithms.Hybrid,0.3,0.1,0,3,,,,,
2,5,solution.algorithms.BFS,0.3,0.1,0,1,150,1000,15.0,20,100.0
2,5,solution.algorithms.BFS,0.3,0.1,0,2,100,1000,10.0,19,95.0
2,5,solution.algorithms.BFS,0.3,0.1,0,3,50,1000,5.0,20,100.0
2,5,solution.algorithms.Dijkstra,0.3,0.1,0,1,,,,,
2,5,solution.algorithms.Dijkstra,0.3,0.1,0,2,,,,,
2,5,solution.algorithms.Dijkstra,0.3,0.1,0,3,,,,,
2,5,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,1,100,1000,10.0,19,95.0
2,5,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,2,100,1000,10.0,19,95.0
2,5,solution.algorithms.BidirectionalDijkstra,0.3,0.1,0,3,100,1000,10.0,20,100.0
2,5,solution.algorithms.Hybrid,0.3,0.1,0,1,0,1000,0.0,19,95.0
2,5,solution.algorithms.Hybrid,0.3,0.1,0,2,0,1000,0.0,20,100.0
2,5,solution.algorithms.Hybrid,0.3,0.1,0,3,100,1000,10.0,19,95.0
3a,0,solution.algorithms.BFS,0.3,0,500,1,600,1000,60.0,19,95.0
3a,0,solution.algorithms.BFS,0.3,0,500,2,350,1000,35.0,19,95.0
3a,0,solution.algorithms.BFS,0.3,0,500,3,450,1000,45.0,19,95.0
3a,0,solution.algorithms.Dijkstra,0.3,0,500,1,,,,,
3a,0,solution.algorithms.Dijkstra,0.3,0,500,2,,,,,
3a,0,solution.algorithms.Dijkstra,0.3,0,500,3,,,,,
3a,0,solution.algorithms.BidirectionalDijkstra,0.3,0,500,1,350,1000,35.0,20,100.0
3a,0,solution.algorithms.BidirectionalDijkstra,0.3,0,500,2,350,950,36.8,19,95.0
3a,0,solution.algorithms.BidirectionalDijkstra,0.3,0,500,3,100,950,10.5,19,95.0
3a,0,solution.algorithms.Hybrid,0.3,0,500,1,100,950,10.5,20,100.0
3a,0,solution.algorithms.Hybrid,0.3,0,500,2,600,950,63.2,19,95.0
3a,0,solution.algorithms.Hybrid,0.3,0,500,3,,,,,
3a,2,solution.algorithms.BFS,0.3,0,500,1,250,1000,25.0,20,100.0
3a,2,solution.algorithms.BFS,0.3,0,500,2,50,1000,5.0,20,100.0
3a,2,solution.algorithms.BFS,0.3,0,500,3,100,1000,10.0,20,100.0
3a,2,solution.algorithms.Dijkstra,0.3,0,500,1,50,1000,5.0,20,100.0
3a,2,solution.algorithms.Dijkstra,0.3,0,500,2,200,1000,20.0,20,100.0
3a,2,solution.algorithms.Dijkstra,0.3,0,500,3,150,1000,15.0,20,100.0
3a,2,solution.algorithms.BidirectionalDijkstra,0.3,0,500,1,,,,,
3a,2,solution.algorithms.BidirectionalDijkstra,0.3,0,500,2,,,,,
3a,2,solution.algorithms.BidirectionalDijkstra,0.3,0,500,3,,,,,
3a,2,solution.algorithms.Hybrid,0.3,0,500,1,,,,,
3a,2,solution.algorithms.Hybrid,0.3,0,500,2,,,,,
3a,2,solution.algorithms.Hybrid,0.3,0,500,3,,,,,
3a,4,solution.algorithms.BFS,0.3,0,500,1,50,1000,5.0,20,100.0
3a,4,solution.algorithms.BFS,0.3,0,500,2,0,1000,0.0,20,100.0
3a,4,solution.algorithms.BFS,0.3,0,500,3,0,1000,0.0,20,100.0
3a,4,solution.algorithms.Dijkstra,0.3,0,500,1,,,,,
3a,4,solution.algorithms.Dijkstra,0.3,0,500,2,,,,,
3a,4,solution.algorithms.Dijkstra,0.3,0,500,3,,,,,
3a,4,solution.algorithms.BidirectionalDijkstra,0.3,0,500,1,0,1000,0.0,20,100.0
3a,4,solution.algorithms.BidirectionalDijkstra,0.3,0,500,2,0,1000,0.0,20,100.0
3a,4,solution.algorithms.BidirectionalDijkstra,0.3,0,500,3,0,1000,0.0,20,100.0
3a,4,solution.algorithms.Hybrid,0.3,0,500,1,0,1000,0.0,20,100.0
3a,4,solution.algorithms.Hybrid,0.3,0,500,2,0,1000,0.0,20,100.0
3a,4,solution.algorithms.Hybrid,0.3,0,500,3,0,1000,0.0,20,100.0
3a,5,solution.algorithms.BFS,0.3,0,500,1,50,1000,5.0,20,100.0
3a,5,solution.algorithms.BFS,0.3,0,500,2,0,1000,0.0,20,100.0
3a,5,solution.algorithms.BFS,0.3,0,500,3,100,1000,10.0,20,100.0
3a,5,solution.algorithms.Dijkstra,0.3,0,500,1,50,1000,5.0,20,100.0
3a,5,solution.algorithms.Dijkstra,0.3,0,500,2,,,,,
